Date,State Name,Vegetable Name,Wholesale Price,Retail Price,Mall Price,Unit,Vegetable Image
2024-05-01,Uttarakhand,Onion Big,27,31 - 34,32 - 45,1kg,N/A
2024-05-01,Uttarakhand,Onion Small,32,37 - 41,38 - 53,1kg,N/A
2024-05-01,Uttarakhand,Tomato,25,29 - 32,30 - 41,1kg,N/A
2024-05-01,Uttarakhand,Green Chilli,44,51 - 56,53 - 73,1kg,N/A
2024-05-01,Uttarakhand,Beetroot,34,39 - 43,41 - 56,1kg,N/A
2024-05-01,Uttarakhand,Potato,31,36 - 39,37 - 51,1kg,N/A
2024-05-01,Uttarakhand,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,N/A
2024-05-01,Uttarakhand,Amaranth Leaves,13,15 - 17,16 - 21,1kg,N/A
2024-05-01,Uttarakhand,Amla,70,81 - 89,84 - 116,1kg,N/A
2024-05-01,Uttarakhand,Ash gourd,18,21 - 23,22 - 30,1kg,N/A
2024-05-01,Uttarakhand,Baby Corn,59,68 - 75,71 - 97,1kg,N/A
2024-05-01,Uttarakhand,Banana Flower,19,22 - 24,23 - 31,1kg,N/A
2024-05-01,Uttarakhand,Capsicum,46,53 - 58,55 - 76,1kg,N/A
2024-05-01,Uttarakhand,Bitter Gourd,32,37 - 41,38 - 53,1kg,N/A
2024-05-01,Uttarakhand,Bottle Gourd,28,32 - 36,34 - 46,1kg,N/A
2024-05-01,Uttarakhand,Butter Beans,46,53 - 58,55 - 76,1kg,N/A
2024-05-01,Uttarakhand,Broad Beans,34,39 - 43,41 - 56,1kg,N/A
2024-05-01,Uttarakhand,Cabbage,18,21 - 23,22 - 30,1kg,N/A
2024-05-01,Uttarakhand,Carrot,43,49 - 55,52 - 71,1kg,N/A
2024-05-01,Uttarakhand,Cauliflower,27,31 - 34,32 - 45,1kg,N/A
2024-05-01,Uttarakhand,Cluster beans,45,52 - 57,54 - 74,1kg,N/A
2024-05-01,Uttarakhand,Coconut,36,41 - 46,43 - 59,1kg,N/A
2024-05-01,Uttarakhand,Colocasia Leaves,15,17 - 19,18 - 25,1kg,N/A
2024-05-01,Uttarakhand,Colocasia,25,29 - 32,30 - 41,1kg,N/A
2024-05-01,Uttarakhand,Coriander Leaves,7,8 - 9,8 - 12,1kg,N/A
2024-05-01,Uttarakhand,Corn,28,32 - 36,34 - 46,1kg,N/A
